Provincias;Nivel de ingresos mensuales netos del hogar;Tamaño del municipio;Tipo de dispositivo de energía renovable;Total
Lugo;Total;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;1.353
Lugo;Total;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;1.555
Lugo;Total;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;.
Lugo;Total;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;93.272
Lugo;Total;De 50.000 habitantes o menos;Total;96.249
Lugo;Total;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;449
Lugo;Total;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;449
Lugo;Total;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;.
Lugo;Total;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;40.300
Lugo;Total;Más de 50.000 habitantes;Total;41.199
Lugo;Menos de 1.000 euros;Total;Un único tipo de dispositivo: Energía solar térmica;362
Lugo;Menos de 1.000 euros;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;540
Lugo;Menos de 1.000 euros;Total;Combinación de varios tipos de dispositivos;.
Lugo;Menos de 1.000 euros;Total;No dispone de dispositivo de energía renovable;36.941
Lugo;Menos de 1.000 euros;Total;Total;37.843
Lugo;Menos de 1.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;272
Lugo;Menos de 1.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;380
Lugo;Menos de 1.000 euros;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;.
Lugo;Menos de 1.000 euros;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;27.418
Lugo;Menos de 1.000 euros;De 50.000 habitantes o menos;Total;28.070
Lugo;Menos de 1.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;.
Lugo;Menos de 1.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;160
Lugo;Menos de 1.000 euros;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;.
Lugo;Menos de 1.000 euros;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;9.523
Lugo;Menos de 1.000 euros;Más de 50.000 habitantes;Total;9.772
Lugo;De 1.000 euros a menos de 1.500 euros;Total;Un único tipo de dispositivo: Energía solar térmica;199
Lugo;De 1.000 euros a menos de 1.500 euros;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;293
Lugo;De 1.000 euros a menos de 1.500 euros;Total;Combinación de varios tipos de dispositivos;.
Lugo;De 1.000 euros a menos de 1.500 euros;Total;No dispone de dispositivo de energía renovable;33.680
Lugo;De 1.000 euros a menos de 1.500 euros;Total;Total;34.172
Lugo;De 1.000 euros a menos de 1.500 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;125
Lugo;De 1.000 euros a menos de 1.500 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;215
Lugo;De 1.000 euros a menos de 1.500 euros;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;.
Lugo;De 1.000 euros a menos de 1.500 euros;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;24.255
Lugo;De 1.000 euros a menos de 1.500 euros;De 50.000 habitantes o menos;Total;24.595
Lugo;De 1.000 euros a menos de 1.500 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;.
Lugo;De 1.000 euros a menos de 1.500 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;78
Lugo;De 1.000 euros a menos de 1.500 euros;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;.
Lugo;De 1.000 euros a menos de 1.500 euros;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;9.425
Lugo;De 1.000 euros a menos de 1.500 euros;Más de 50.000 habitantes;Total;9.578
Lugo;De 1.500 euros a menos de 2.000 euros;Total;Un único tipo de dispositivo: Energía solar térmica;313
Lugo;De 1.500 euros a menos de 2.000 euros;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;201
Lugo;De 1.500 euros a menos de 2.000 euros;Total;Combinación de varios tipos de dispositivos;.
Lugo;De 1.500 euros a menos de 2.000 euros;Total;No dispone de dispositivo de energía renovable;24.684
Lugo;De 1.500 euros a menos de 2.000 euros;Total;Total;25.199
Lugo;De 1.500 euros a menos de 2.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;273
Lugo;De 1.500 euros a menos de 2.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;201
Lugo;De 1.500 euros a menos de 2.000 euros;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;.
Lugo;De 1.500 euros a menos de 2.000 euros;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;16.505
Lugo;De 1.500 euros a menos de 2.000 euros;De 50.000 habitantes o menos;Total;16.980
Lugo;De 1.500 euros a menos de 2.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;.
Lugo;De 1.500 euros a menos de 2.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;.
Lugo;De 1.500 euros a menos de 2.000 euros;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;.
Lugo;De 1.500 euros a menos de 2.000 euros;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;8.179
Lugo;De 1.500 euros a menos de 2.000 euros;Más de 50.000 habitantes;Total;8.219
Lugo;De 2.000 euros a menos de 3.000 euros;Total;Un único tipo de dispositivo: Energía solar térmica;577
Lugo;De 2.000 euros a menos de 3.000 euros;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;575
Lugo;De 2.000 euros a menos de 3.000 euros;Total;Combinación de varios tipos de dispositivos;.
Lugo;De 2.000 euros a menos de 3.000 euros;Total;No dispone de dispositivo de energía renovable;23.859
Lugo;De 2.000 euros a menos de 3.000 euros;Total;Total;25.012
Lugo;De 2.000 euros a menos de 3.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;390
Lugo;De 2.000 euros a menos de 3.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;452
Lugo;De 2.000 euros a menos de 3.000 euros;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;.
Lugo;De 2.000 euros a menos de 3.000 euros;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;16.382
Lugo;De 2.000 euros a menos de 3.000 euros;De 50.000 habitantes o menos;Total;17.224
Lugo;De 2.000 euros a menos de 3.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;187
Lugo;De 2.000 euros a menos de 3.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;123
Lugo;De 2.000 euros a menos de 3.000 euros;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;.
Lugo;De 2.000 euros a menos de 3.000 euros;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;7.478
Lugo;De 2.000 euros a menos de 3.000 euros;Más de 50.000 habitantes;Total;7.788
Lugo;3.000 euros o más;Total;Un único tipo de dispositivo: Energía solar térmica;351
Lugo;3.000 euros o más;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;395
Lugo;3.000 euros o más;Total;Combinación de varios tipos de dispositivos;.
Lugo;3.000 euros o más;Total;No dispone de dispositivo de energía renovable;14.408
Lugo;3.000 euros o más;Total;Total;15.223
Lugo;3.000 euros o más;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;293
Lugo;3.000 euros o más;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;307
Lugo;3.000 euros o más;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;.
Lugo;3.000 euros o más;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;8.711
Lugo;3.000 euros o más;De 50.000 habitantes o menos;Total;9.380
Lugo;3.000 euros o más;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;.
Lugo;3.000 euros o más;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;88
Lugo;3.000 euros o más;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;.
Lugo;3.000 euros o más;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;5.697
Lugo;3.000 euros o más;Más de 50.000 habitantes;Total;5.843
Madrid;Total;Total;Un único tipo de dispositivo: Energía solar térmica;134.442
Madrid;Total;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;59.085
Madrid;Total;Total;Combinación de varios tipos de dispositivos;6.544
Madrid;Total;Total;No dispone de dispositivo de energía renovable;2.426.037
Madrid;Total;Total;Total;2.626.108
Madrid;Total;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;13.376
Madrid;Total;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;11.042
Madrid;Total;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;2.458
Madrid;Total;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;356.392
Madrid;Total;De 50.000 habitantes o menos;Total;383.268
Madrid;Total;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;121.066
Madrid;Total;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;48.043
Madrid;Total;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;4.087
Madrid;Total;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;2.069.645
Madrid;Total;Más de 50.000 habitantes;Total;2.242.840
Madrid;Menos de 1.000 euros;Total;Un único tipo de dispositivo: Energía solar térmica;12.103
Madrid;Menos de 1.000 euros;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;6.055
Madrid;Menos de 1.000 euros;Total;Combinación de varios tipos de dispositivos;.
Madrid;Menos de 1.000 euros;Total;No dispone de dispositivo de energía renovable;405.492
Madrid;Menos de 1.000 euros;Total;Total;424.022
Madrid;Menos de 1.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;719
Madrid;Menos de 1.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;576
Madrid;Menos de 1.000 euros;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;.
Madrid;Menos de 1.000 euros;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;69.705
Madrid;Menos de 1.000 euros;De 50.000 habitantes o menos;Total;71.373
Madrid;Menos de 1.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;11.383
Madrid;Menos de 1.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;5.479
Madrid;Menos de 1.000 euros;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;.
Madrid;Menos de 1.000 euros;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;335.786
Madrid;Menos de 1.000 euros;Más de 50.000 habitantes;Total;352.649
Madrid;De 1.000 euros a menos de 1.500 euros;Total;Un único tipo de dispositivo: Energía solar térmica;19.338
Madrid;De 1.000 euros a menos de 1.500 euros;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;13.139
Madrid;De 1.000 euros a menos de 1.500 euros;Total;Combinación de varios tipos de dispositivos;772
Madrid;De 1.000 euros a menos de 1.500 euros;Total;No dispone de dispositivo de energía renovable;475.806
Madrid;De 1.000 euros a menos de 1.500 euros;Total;Total;509.056
Madrid;De 1.000 euros a menos de 1.500 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;1.592
Madrid;De 1.000 euros a menos de 1.500 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;3.117
Madrid;De 1.000 euros a menos de 1.500 euros;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;.
Madrid;De 1.000 euros a menos de 1.500 euros;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;58.459
Madrid;De 1.000 euros a menos de 1.500 euros;De 50.000 habitantes o menos;Total;63.582
Madrid;De 1.000 euros a menos de 1.500 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;17.746
Madrid;De 1.000 euros a menos de 1.500 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;10.022
Madrid;De 1.000 euros a menos de 1.500 euros;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;359
Madrid;De 1.000 euros a menos de 1.500 euros;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;417.347
Madrid;De 1.000 euros a menos de 1.500 euros;Más de 50.000 habitantes;Total;445.474
Madrid;De 1.500 euros a menos de 2.000 euros;Total;Un único tipo de dispositivo: Energía solar térmica;21.661
Madrid;De 1.500 euros a menos de 2.000 euros;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;9.099
Madrid;De 1.500 euros a menos de 2.000 euros;Total;Combinación de varios tipos de dispositivos;.
Madrid;De 1.500 euros a menos de 2.000 euros;Total;No dispone de dispositivo de energía renovable;399.380
Madrid;De 1.500 euros a menos de 2.000 euros;Total;Total;430.198
Madrid;De 1.500 euros a menos de 2.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar térmica;2.457
Madrid;De 1.500 euros a menos de 2.000 euros;De 50.000 habitantes o menos;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;1.529
Madrid;De 1.500 euros a menos de 2.000 euros;De 50.000 habitantes o menos;Combinación de varios tipos de dispositivos;.
Madrid;De 1.500 euros a menos de 2.000 euros;De 50.000 habitantes o menos;No dispone de dispositivo de energía renovable;55.446
Madrid;De 1.500 euros a menos de 2.000 euros;De 50.000 habitantes o menos;Total;59.433
Madrid;De 1.500 euros a menos de 2.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar térmica;19.204
Madrid;De 1.500 euros a menos de 2.000 euros;Más de 50.000 habitantes;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;7.570
Madrid;De 1.500 euros a menos de 2.000 euros;Más de 50.000 habitantes;Combinación de varios tipos de dispositivos;.
Madrid;De 1.500 euros a menos de 2.000 euros;Más de 50.000 habitantes;No dispone de dispositivo de energía renovable;343.934
Madrid;De 1.500 euros a menos de 2.000 euros;Más de 50.000 habitantes;Total;370.765
Madrid;De 2.000 euros a menos de 3.000 euros;Total;Un único tipo de dispositivo: Energía solar térmica;37.993
Madrid;De 2.000 euros a menos de 3.000 euros;Total;Un único tipo de dispositivo: Energía solar fotovoltaica, eólica, biomasa, etc.;17.123
Madrid;De 2.000 euros a menos de 3.000 euros;Total;Combinación de varios tipos de dispositivos;2.869
Madrid;De 2.000 euros a menos de 3.000 euros;Total;No dispone de dispositivo de energía renovable;595.533
Madrid;De 2.000 euros a menos de 3.000 euros;Total;Total;653.517
